8.0,4.8
3.9,10.3
11.9,12.0
14.1,9.0
6.1,2.9
13.4,9.0
8.9,9.1
5.7,6.2
13.9,13.0
10.9,14.2
7.9,2.2
12.2,8.3
13.3,12.5
13.2,10.4
10.2,5.1
7.9,3.0
6.6,6.5
11.4,14.4
3.2,3.6
13.4,9.0
5.5,5.1
3.1,2.5
11.7,9.5
7.7,14.7
2.4,7.0
6.7,6.1
8.6,12.8
6.9,8.4
5.7,2.9
11.8,11.8
2.7,6.5
5.7,6.2
8.7,14.5
3.9,10.3
12.5,7.4
8.4,11.6
5.3,2.7
2.7,6.5
11.5,4.7
5.1,10.0
6.1,5.0
5.7,6.2
12.5,7.4
6.7,6.1
7.7,14.7
4.7,9.3
8.4,3.3
7.2,8.5
13.9,13.0
13.3,2.1
13.4,9.0
6.7,4.7
12.4,12.0
14.6,12.1
12.5,2.3
12.6,9.5
5.5,5.1
12.5,7.4
10.9,14.2
6.6,6.5
11.7,9.5
7.6,9.4
7.9,12.7
3.5,7.3
6.6,6.5
9.1,11.2
13.3,3.1
11.8,11.8
8.4,3.3
8.0,4.8
13.3,2.1
2.7,6.5
3.8,4.2
9.2,4.3
6.7,4.7
6.4,9.3
2.5,3.9
8.9,9.1
13.2,10.4
5.2,5.5
2.5,6.9
3.2,3.3
6.1,5.0
2.4,2.5
8.1,15.0
7.2,10.4
6.1,5.0
6.6,13.2
13.0,3.1
14.6,12.1
11.8,11.8
8.1,15.0
4.8,7.4
14.7,10.1
13.3,12.5
6.1,5.0
7.2,10.4
11.8,2.9
9.6,2.4
13.9,10.8
