10.4,13.9
9.6,8.0
9.6,8.0
14.6,5.8
11.0,13.6
8.1,4.2
5.2,8.1
10.2,10.8
14.3,14.3
2.8,3.0
6.7,12.6
6.7,6.9
4.3,5.0
3.0,4.1
3.5,3.7
10.9,11.1
10.2,10.8
7.3,3.4
8.1,4.2
9.1,6.6
9.2,4.6
13.9,10.5
6.0,2.8
9.2,12.0
5.2,8.1
12.0,2.2
2.1,6.4
7.2,10.7
8.1,5.4
11.5,7.3
2.4,6.5
4.2,11.6
14.9,2.2
12.1,7.9
2.9,12.0
10.0,11.2
2.7,6.0
14.8,2.5
13.8,3.1
13.4,11.9
5.2,8.1
6.4,5.1
10.3,4.0
10.5,9.6
10.9,11.1
12.2,14.7
10.9,11.1
4.6,12.5
11.5,7.3
14.1,12.3
4.6,12.5
10.9,11.1
10.3,4.0
7.6,5.9
3.4,12.3
4.6,12.5
6.0,2.8
6.0,7.5
2.8,12.3
10.4,13.9
12.5,5.6
14.1,12.3
9.7,7.4
12.7,9.5
2.8,3.0
11.5,7.3
7.9,10.2
14.8,2.5
10.6,7.5
7.2,10.7
9.2,8.1
11.9,13.2
2.9,12.3
11.9,13.2
9.3,7.8
12.0,2.2
10.9,14.5
5.2,8.5
2.8,12.3
13.8,3.1
4.6,12.5
10.5,9.6
2.8,3.0
7.8,5.3
6.7,12.6
9.2,12.0
2.9,12.3
6.7,6.9
11.8,2.4
10.0,5.3
5.2,8.5
14.6,5.8
3.4,12.3
4.8,13.4
9.9,8.4
12.2,14.7
5.2,11.6
2.1,6.4
2.9,12.3
2.7,6.0
